Food_code,Food_name,E_kcal,Prot_g,RAE_μg,VitC_mg,Thiamin_mg,Riboflavin_mg,Nia_mg,Fol_μg,VitB12_μg,Ca_mg,Fe_mg,Zn_mg
MZF0143,"cheese, feta,323,17.7,508,0.0,0.07,0.24,1.10,37,2.00",323,17.7,508,0.0,0.07,0.24,1.10,37,2.00,386,1.20,2.06
MZF0144,"cheese, gouda,377,23.9,368,0.0,0.04,0.34,0.10,21,1.50",377,23.9,368,0.0,0.04,0.34,0.10,21,1.50,806,0.80,3.74
MZF0145,"cheese, mozzarella,297,22.2,179,0.0,0.03,0.28,0.10,7,2.28",297,22.2,179,0.0,0.03,0.28,0.10,7,2.28,505,0.44,2.92
MZF0222,condensed milk,330,7.9,74,2.6,0.09,0.42,0.21,11,0.44,284,0.19,0.94
MZF0146,"ice cream, vanilla,206,3.5,118,0.6,0.04,0.24,0.12,5,0.39",206,3.5,118,0.6,0.04,0.24,0.12,5,0.39,128,0.09,0.69
MZF0223,"milk powder, full fat,499,26.3,258,8.6,0.28,1.21,0.65,37,3.25",499,26.3,258,8.6,0.28,1.21,0.65,37,3.25,912,0.47,3.34
MZF0147,"milk, cow, 2% fat, fresh,50,3.3,21,1.0,0.02,0.16,0.10",50,3.3,21,1.0,0.02,0.16,0.10,5,0.40,122,0.10,0.39
MZF0148,"milk, cow, whole, fresh,62,3.2,44,1.0,0.02,0.16,0.10",62,3.2,44,1.0,0.02,0.16,0.10,5,0.40,120,0.10,0.38
MZF0149,"milk, goat,85,3.4,25,1.0,0.06,0.22,0.40,1,0.10",85,3.4,25,1.0,0.06,0.22,0.40,1,0.10,160,0.10,0.30
MZF0150,"yoghurt, fruit, low fat, sweetened with sugar,85,3.8,20,0.0,0.02,0.15,0.10",85,3.8,20,0.0,0.02,0.15,0.10,7,0.30,145,0.00,0.54
MZF0028,"butter spread, Clover Butro,675,0.5,324,,0.01,0.03,0.00,3,0.00",675,0.5,324,,0.01,0.03,0.00,3,0.00,24,0.20,0.05
MZF0029,"butter, salted,721,0.9,684,,0.01,0.03,0.04,3,0.17",721,0.9,684,,0.01,0.03,0.04,3,0.17,24,0.02,0.09
MZF0031,"margarine, Biba, Amanda,707,0.0,400,,0.00,0.00,0.00,0",707,0.0,400,,0.00,0.00,0.00,0,0.00,6,0.00,0.00
MZF0032,"margarine, Flora,576,0.0,567,,0.00,0.00,0.00,333,2.00",576,0.0,567,,0.00,0.00,0.00,333,2.00,6,0.00,0.00
MZF0034,"margarine, Rama, brick,712,0.0,850,,1.30,1.70,18.00,200",712,0.0,850,,1.30,1.70,18.00,200,1.00,6,0.00,0.00
MZF0224,mayonnaise,512,0.7,4,0.0,0.01,0.02,0.01,3,0.10,3,0.11,0.07
